employee_id,employee_name,contact_number,email,manager_id
9619,Erica Anderson,292.803.2048x1645,griffithtom@example.org,5825
6137,James Bean,(238)830-7291,aclements@example.com,1755
6862,Faith Peters,506-421-0457x90644,rivaslarry@example.net,3185
3280,Bruce Blackwell,215-658-2031,gwashington@example.com,7579
674,Andres Clark,939.883.6855,huntmckenzie@example.org,9619
3871,Suzanne Cole,(581)560-2519,nclark@example.com,8878
877,James Williams,(497)476-6751x985,rogersanthony@example.net,3080
1107,Angela Hart,001-211-613-1100x9897,ksimpson@example.net,780
4334,Andrew Larson,(643)934-2747x173,jrogers@example.com,9619
1195,Christopher Evans,727-857-0711x996,scott19@example.org,4722
1120,Marcus Curtis,-4041,awhite@example.com,9371
250,Chris Brown,290-342-1158,ywells@example.org,1124
4841,Danielle Rhodes,517-656-7538x1105,lisa85@example.net,7138
6957,Renee Mcbride,2164640777,benjaminking@example.net,4655
4196,Christine Bell,001-827-764-9470,erika71@example.org,7878
4159,Melissa Dillon,650-756-5376x7232,rharris@example.com,4722
1860,Kara Williams,704-290-7951x30953,shawnjohnson@example.org,9261
3035,Dennis Huerta,001-371-808-9039x713,morganchristopher@example.net,1078
7691,Harry Hughes,001-794-769-3068x6737,kimberly29@example.org,1340
1673,Sheryl Lopez,784.742.1846x6757,patrickmyers@example.com,7691
7888,Jessica Hayden,001-286-917-7791,adkinsapril@example.org,9999
7411,Daniel Grant MD,001-891-905-7740,shirley67@example.com,3259
6956,Tammy Kidd,7012907064,christophermarshall@example.org,4196
